"client_id","group_visit","coalesce","coalesce-2","coalesce-3","coalesce-4"
1,"1","0","11","0","15:45:00"
2,"3","5","9","1","11:00:00"
3,"3","0","15","1","17:45:00"
4,"0","1","10","0","13:45:00"
5,"2","1","13","1","17:30:00"
6,"2","2","9","2","13:45:00"
7,"2","2","7","1","10:00:00"
8,"2","1","7","0","11:00:00"
9,"3","5","14","0","20:15:00"
10,"1","5","7","0","10:15:00"
11,"1","0","9","3","12:30:00"
12,"0","4","12","3","16:15:00"
13,"2","1","12","2","16:45:00"
14,"2","1","13","1","19:45:00"
15,"0","1","17","0","21:15:00"
16,"0","1","7","2","10:30:00"
17,"2","2","14","0","18:15:00"
18,"3","5","13","2","18:15:00"
19,"0","2","9","2","11:45:00"
20,"2","5","5","4","06:15:00"
21,"2","0","6","0","09:00:00"
22,"0","2","9","2","12:30:00"
23,"0","4","14","2","16:45:00"
24,"3","3","8","0","07:15:00"
25,"5","1","10","0","12:15:00"
26,"0","1","11","2","14:15:00"
27,"3","2","8","0","12:15:00"
28,"2","4","11","2","13:45:00"
29,"1","4","4","4","04:45:00"
30,"3","3","11","1","12:45:00"
31,"3","3","10","0","14:15:00"
32,"1","1","7","2","08:15:00"
33,"1","2","9","0","08:15:00"
34,"0","0","10","2","13:15:00"
35,"1","1","12","2","15:30:00"
36,"2","1","15","4","19:15:00"
37,"2","1","14","4","22:30:00"
38,"3","1","5","2","06:30:00"
39,"1","1","11","0","13:45:00"
40,"1","5","14","1","19:30:00"
41,"3","1","8","0","11:45:00"
42,"1","1","10","1","15:15:00"
43,"0","1","7","0","07:30:00"
44,"2","1","5","0","07:30:00"
45,"1","2","11","2","13:15:00"
46,"0","2","4","6","05:30:00"
47,"1","3","14","3","19:15:00"
48,"1","2","9","1","10:15:00"
49,"2","2","7","0","11:00:00"
50,"0","3","8","5","09:00:00"
51,"2","1","10","0","12:45:00"
52,"5","2","11","1","12:30:00"
53,"0","0","14","1","17:45:00"
54,"3","0","16","5","21:45:00"
55,"0","0","11","6","14:15:00"
56,"1","3","12","2","16:00:00"
57,"2","4","9","0","12:00:00"
58,"0","1","14","1","16:15:00"
59,"1","2","8","0","13:00:00"
60,"2","4","7","0","10:00:00"
61,"1","2","7","0","08:30:00"
62,"5","1","11","0","16:30:00"
63,"0","1","6","1","06:30:00"
64,"2","1","11","2","15:30:00"
65,"3","2","8","3","11:30:00"
66,"1","3","11","3","15:15:00"
67,"1","2","13","2","17:00:00"
68,"0","1","7","1","09:00:00"
69,"3","1","9","1","13:45:00"
70,"0","1","3","0","04:30:00"
71,"4","4","10","2","14:30:00"
72,"2","4","15","1","18:45:00"
73,"1","1","10","2","13:15:00"
74,"1","0","6","2","08:00:00"
75,"0","1","9","2","11:00:00"
76,"0","2","11","2","14:45:00"
77,"1","1","11","3","16:30:00"
78,"2","0","7","0","07:30:00"
79,"1","2","11","2","12:30:00"
80,"2","1","13","1","17:00:00"
81,"1","1","9","0","11:45:00"
82,"0","3","12","0","16:00:00"
83,"3","3","10","1","11:30:00"
84,"2","1","6","0","06:45:00"
85,"3","2","11","4","13:45:00"
86,"2","2","5","3","07:15:00"
87,"0","1","8","0","09:45:00"
88,"5","2","15","2","18:00:00"
89,"1","0","12","2","13:30:00"
90,"0","3","9","2","13:45:00"
91,"1","0","11","2","12:00:00"
92,"4","3","18","2","22:45:00"
93,"2","0","8","2","10:15:00"
94,"6","1","6","3","07:30:00"
95,"3","1","13","0","17:45:00"
96,"0","1","8","0","09:00:00"
97,"3","2","9","4","13:00:00"
98,"3","1","6","1","07:30:00"
99,"1","1","15","2","19:45:00"
100,"0","1","13","1","17:45:00"
